Transaction_id,User_id,Date_cleaned,Transaction_Type,Category_Clean,Amount_Clean,Is_Refund,is_Outlier,Payment_Mode_Clean,Location_Clean
T10019,U029,2024-02-18,Expense,Rent,2398,NO,NO,BANK TRANSFER,Lucknow
T1053,U081,2021-08-25,Expense,Travel,498,NO,NO,CASH,Delhi
T2960,U124,2022-09-05,Expense,Rent,35588,NO,NO,CASH,Jaipur
T5402,U053,2021-11-02,Income,Food,13131,NO,NO,CARD,Lucknow
T1989,U027,2024-06-08,Expense,Savings,6321,NO,NO,CASH,Ahmedabad
T7284,U114,2023-08-30,Expense,Uncategorised,28207,NO,NO,BANK TRANSFER,Unknown
T11284,U125,2023-06-24,Expense,Utilities,0,NO,NO,CARD,Chennai
T1195,U102,2023-08-06,Expense,Food,10749,NO,NO,CASH,Lucknow
T6008,U053,2023-05-21,Expense,Investment,2232,NO,NO,UNKNOWN,Pune
T11465,U149,2022-03-30,Expense,Freelance,8161,NO,NO,CARD,Bangalore
T8940,U088,2024-11-05,Expense,Utilities,3825,NO,NO,CASH,Bangalore
T2577,U075,2022-07-13,Expense,Food,4923,NO,NO,BANK TRANSFER,Mumbai
T6064,U104,2023-11-04,Expense,Travel,1078,NO,NO,BANK TRANSFER,Delhi
T1619,U053,2021-02-16,Income,Entertainment,74630,NO,NO,BANK TRANSFER,Ahmedabad
T1405,U109,2022-02-12,Income,Entertainment,14180,NO,NO,CASH,Mumbai
T0352,U149,2024-11-08,Expense,Utilities,8479,NO,NO,UPI,Bangalore
T5467,U104,2023-11-05,Expense,Rent,5292,NO,NO,BANK TRANSFER,Hyderabad
T10397,U013,2022-10-20,Expense,Rent,3942,NO,NO,BANK TRANSFER,Lucknow
T3306,U065,2022-07-22,Expense,Rent,2923,NO,NO,BANK TRANSFER,Delhi
T12923,U075,2023-09-01,Expense,Food,8943,NO,NO,CARD,Pune
T2497,U149,2022-11-22,Expense,Investment,3159,NO,NO,CARD,Delhi
T12309,U024,2023-12-18,Expense,Food,12484,NO,NO,CARD,Bangalore
T6608,U081,2023-04-06,Expense,Food,4331,NO,NO,CASH,Hyderabad
T4870,U014,2024-10-04,Expense,Rent,9348,NO,NO,BANK TRANSFER,Jaipur
T12187,U060,2024-06-26,Expense,Food,8174,NO,NO,BANK TRANSFER,Pune
T13685,U047,2021-08-03,Income,Food,74243,NO,NO,CASH,Jaipur
T6605,U124,2023-10-17,Expense,Food,8640,NO,NO,CASH,Jaipur
T3940,U085,2021-06-25,Expense,Freelance,9784,NO,NO,CARD,Jaipur
T12289,U001,2021-12-26,Expense,Others,45093,NO,NO,CARD,Pune
T12849,U049,2021-04-21,Expense,Travel,2130,NO,NO,UPI,Lucknow
T6257,U036,2023-02-21,Expense,Rent,4816,NO,NO,UPI,Pune
T3936,U039,2023-10-05,Expense,Education,2247,NO,NO,CARD,Chennai
T10279,U087,2021-03-13,Income,Bonus,46587,NO,NO,CARD,Lucknow
T0177,U038,2022-06-13,Expense,Utilities,6610,NO,NO,CASH,Pune
T3986,U077,2024-12-20,Expense,Rent,4692,NO,NO,UPI,Jaipur
T2217,U113,2023-04-02,Expense,Health,6756,NO,NO,BANK TRANSFER,Pune
T3810,U004,2021-02-03,Expense,Entertainment,5305,NO,NO,BANK TRANSFER,Chennai
T7155,U060,2022-08-14,Income,Travel,67675,NO,NO,BANK TRANSFER,Bangalore
T8163,U016,2021-03-29,Expense,Entertainment,7845,NO,NO,CASH,Delhi
T7044,U049,2022-05-18,Expense,Savings,7183,NO,NO,CASH,Unknown
T3840,U144,2022-08-23,Expense,Utilities,6908,NO,NO,CARD,Bangalore
T3774,U020,2023-09-08,Expense,Utilities,47146,NO,NO,CARD,Delhi
T3961,U111,2024-07-15,Expense,Travel,5749,NO,NO,CASH,Pune
T13582,U133,2021-10-26,Expense,Rent,5542,NO,NO,CARD,Kolkata
T11104,U121,2022-09-14,Expense,Others,3429,NO,NO,CARD,Mumbai
T8714,U065,2021-06-23,Expense,Rent,237,NO,NO,BANK TRANSFER,Jaipur
T2709,U138,2022-08-18,Expense,Rent,8231,NO,NO,UPI,Chennai
T2156,U018,2022-11-05,Expense,Others,9859,NO,NO,UPI,Kolkata
T8551,U065,2024-03-20,Expense,Education,2288,NO,NO,UPI,Kolkata
T10622,U030,2022-01-26,Expense,Entertainment,5756,NO,NO,BANK TRANSFER,Hyderabad
T9673,U145,2021-10-31,Expense,Entertainment,28183,NO,NO,UPI,Delhi
T8967,U125,2023-03-16,Income,Travel,41720,NO,NO,BANK TRANSFER,Pune
T11141,U098,2024-10-07,Expense,Food,7335,NO,NO,BANK TRANSFER,Chennai
T4430,U147,2024-10-04,Expense,Rent,287,NO,NO,CARD,Hyderabad
T11810,U060,2021-12-30,Income,Food,57828,NO,NO,UPI,Ahmedabad
T10574,U061,2021-10-28,Expense,Education,9601,NO,NO,UNKNOWN,Kolkata
T9406,U131,2021-12-08,Expense,Travel,2186,NO,NO,CARD,Bangalore
T2288,U143,2021-06-14,Expense,Food,8093,NO,NO,CARD,Lucknow
T1733,U080,2023-05-03,Expense,Savings,2272,NO,NO,BANK TRANSFER,Hyderabad
T13220,U140,2024-02-05,Expense,Entertainment,4549,NO,NO,CASH,Chennai
T9379,U106,2021-11-26,Expense,Travel,21603,NO,NO,CASH,Jaipur
T0617,U046,2021-01-22,Expense,Savings,1641,NO,NO,CASH,Kolkata
T13759,U109,2021-12-27,Expense,Travel,7941,NO,NO,UPI,Chennai
T0147,U114,2021-06-27,Expense,Health,7135,NO,NO,CASH,Lucknow
T4332,U089,2023-11-21,Expense,Rent,4265,NO,NO,UPI,Hyderabad
T12052,U046,2023-09-09,Expense,Education,8634,NO,NO,BANK TRANSFER,Lucknow
T4585,U003,2024-05-21,Expense,Rent,1006,NO,NO,UPI,Hyderabad
T0859,U132,2024-10-27,Expense,Food,475,NO,NO,BANK TRANSFER,Delhi
T6964,U028,2022-04-16,Expense,Travel,0,NO,NO,CASH,Delhi
T5011,U129,2022-07-16,Expense,Rent,6799,NO,NO,CARD,Bangalore
T13370,U046,2021-09-23,Expense,Rent,0,NO,NO,CARD,Delhi
T1330,U108,2022-03-21,Expense,Salary,1564,NO,NO,UNKNOWN,Unknown
T4361,U008,2023-03-19,Expense,Bonus,1002,NO,NO,BANK TRANSFER,Ahmedabad
T7760,U089,2024-05-11,Expense,Food,46614,NO,NO,BANK TRANSFER,Lucknow
T7501,U047,2021-01-12,Expense,Freelance,4005,NO,NO,CASH,Kolkata
T10853,U083,2023-04-28,Expense,Travel,4601,NO,NO,UPI,Pune
T5130,U075,2021-09-10,Expense,Food,46896,NO,NO,UPI,Delhi
T12558,U124,2021-01-13,Expense,Bonus,0,NO,NO,CASH,Chennai
T4248,U058,2022-03-21,Income,Others,78532,NO,NO,BANK TRANSFER,Kolkata
T5305,U046,2023-01-16,Income,Travel,178518,NO,NO,BANK TRANSFER,Pune
T6784,U022,2021-01-12,Expense,Food,8687,NO,NO,UNKNOWN,Bangalore
T1468,U139,2022-12-07,Income,Rent,57170,NO,NO,UPI,Delhi
T5253,U075,2021-08-07,Expense,Health,7235,NO,NO,CARD,Bangalore
T6241,U037,2022-04-07,Expense,Health,9675,NO,NO,CASH,Mumbai
T4458,U075,2022-04-21,Expense,Food,4895,NO,NO,UPI,Ahmedabad
T4529,U064,2024-01-31,Income,Food,21355,NO,NO,BANK TRANSFER,Jaipur
T5154,U072,2024-11-03,Income,Food,13183,NO,NO,UPI,Chennai
T10901,U086,2022-07-12,Expense,Rent,9364,NO,NO,UPI,Delhi
T12719,U019,2021-05-18,Expense,Utilities,5042,NO,NO,CASH,Jaipur
T6988,U044,2023-10-07,Expense,Rent,2824,NO,NO,UPI,Ahmedabad
T2128,U126,2023-10-18,Expense,Rent,9979,NO,NO,UPI,Hyderabad
T1182,U023,2024-09-20,Expense,Rent,8548,NO,NO,UNKNOWN,Bangalore
T4182,U117,2023-03-03,Expense,Food,700,NO,NO,BANK TRANSFER,Pune
T4082,U138,2021-07-23,Expense,Rent,6556,NO,NO,UPI,Mumbai
